--- PAGE 1 ---
〈2026 年 1 月～6 月実施〉 
生命保険一般課程試験問題【フォーム C】解答一覧 
 
1 ア １点 26 ア ２点 48 正 １点 73 ア １点 
2 エ １点 27 カ ２点 49 正 １点 74 ア １点 
3 ア １点 28 キ ２点 50 誤 １点 75 イ １点 
4 エ １点 29 ウ ２点 51 誤 １点 76 イ １点 
5 オ １点 30 ケ ２点 52 正 １点 77 ア １点 
6 ア １点 31 １つ目…ア ２点 53 正 １点 78 イ １点 
7 エ １点   ２つ目…ウ ２点 54 誤 １点 79 ア １点 
8 イ １点 32 １つ目…ウ ２点 55 誤 １点 80 イ １点 
9 エ １点   ２つ目…エ ２点 56 正 １点 81 イ １点 
10 カ １点 33 １つ目…イ ２点 57 誤 １点 82 ア １点 
11 イ １点   ２つ目…エ ２点 58 誤 １点     
12 ウ １点 34 イ ２点 59 正 １点     
13 カ １点 35 ウ ２点 60 正 １点     
14 ウ １点 36 イ ２点 61 誤 １点     
15 イ １点 37 ア ２点 62 誤 １点     
16 イ １点 38 誤 １点 63 正 １点     
17 エ １点 39 誤 １点 64 正 １点     
18 ア １点 40 正 １点 65 正 １点     
19 ウ １点 41 正 １点 66 誤 １点     
20 カ １点 42 誤 １点 67 正 １点     
21 イ １点 43 誤 １点 68 イ １点     
22 エ １点 44 正 １点 69 イ １点     
23 オ １点 45 正 １点 70 ア １点     
24 ア １点 46 誤 １点 71 イ １点     
25 ウ １点 47 正 １点 72 ア １点     
 
