セット数,日付,カテゴリー,セット数,学習時間（h)
2セット,2026/07/26,英語,2,0.5
2セット,2026/07/25,学び,2,0.5
2セット,2026/07/17,英語,2,0.5
2セット,2026/07/13,英語,2,0.5
2セット,2026/07/12,英語,2,0.5
2セット,2026/07/08,英語,2,0.5
2セット,2026/07/05,英語,2,0.5
2セット,2026/06/17,英語,2,0.5
2セット,2026/06/15,英語,2,0.5
2セット,2026/06/01,英語,2,0.5
2セット,2026/05/03,英語,2,0.5
2セット,2026/05/02,英語,2,0.5
2セット,2026/04/30,英語,2,0.5
2セット,2026/04/28,英語,2,0.5
2セット,2026/04/27,英語,2,0.5
4セット,2026/04/25,英語,4,1
2セット,2026/04/24,英語,2,0.5
2セット,2026/04/22,英語,2,0.5
2セット,2026/04/21,英語,2,0.5
2セット,2026/04/20,英語,2,0.5
2セット,2026/04/09,英語,2,0.5
2セット,2026/04/08,英語,2,0.5
2セット,2026/04/02,英語,2,0.5
4セット,2026/03/30,英語,4,1
2セット,2026/03/28,英語,2,0.5
2セット,2026/03/26,英語,2,0.5
4セット,2026/03/25,英語,4,1
4セット,2026/03/23,英語,4,1
4セット,2026/03/22,英語,4,1
4セット,2026/03/20,英語,4,1
4セット,2026/03/18,英語,4,1
2セット,2026/03/17,英語,2,0.5
2セット,2026/03/16,英語,2,0.5
2セット,2026/03/15,英語,2,0.5
2セット,2026/03/14,英語,2,0.5
4セット,2026/03/12,英語,4,1
2セット,2026/03/03,英語,2,0.5
2セット,2026/03/02,英語,2,0.5
2セット,2026/03/01,英語,2,0.5
2セット,2026/02/28,英語,2,0.5
6セット,2026/02/27,英語,6,1.5
8セット,2026/02/13,学び,8,2
16セット,2026/02/12,学び,16,4
16セット,2026/02/11,学び,16,4
16セット,2026/02/10,学び,16,4
2セット,2026/02/09,学び,2,0.5
2セット,2026/02/06,英語,2,0.5
4セット,2026/02/05,英語,4,1
2セット,2026/02/05,学び,2,0.5
4セット,2026/02/04,英語,4,1
14セット,2026/02/04,学び,14,3.5
8セット,2026/02/03,学び,8,2
4セット,2026/02/03,英語,4,1
12セット,2026/02/02,学び,12,3
4セット,2026/02/02,英語,4,1
2セット,2026/02/01,学び,2,0.5
4セット,2026/01/31,英語,4,1
12セット,2026/01/31,学び,12,3
10セット,2026/01/30,学び,10,2.5
10セット,2026/01/29,学び,10,2.5
2セット,2026/01/28,英語,2,0.5
26セット,2026/01/28,学び,26,6.5
2セット,2026/01/27,英語,2,0.5
16セット,2026/01/27,学び,16,4
36セット,2026/01/26,学び,36,9
4セット,2026/01/26,英語,4,1
2セット,2026/01/25,英語,2,0.5
20セット,2026/01/25,学び,20,5
22セット,2026/01/24,学び,22,5.5
10セット,2026/01/23,学び,10,2.5
2セット,2026/01/22,学び,2,0.5
2セット,2026/01/22,英語,2,0.5
22セット,2026/01/21,学び,22,5.5
22セット,2026/01/20,学び,22,5.5
16セット,2026/01/19,学び,16,4
20セット,2026/01/18,学び,20,5
26セット,2026/01/17,学び,26,6.5
12セット,2026/01/16,学び,12,3
14セット,2026/01/15,学び,14,3.5
26セット,2026/01/14,学び,26,6.5
32セット,2026/01/13,学び,32,8
4セット,2026/01/12,英語,4,1
26セット,2026/01/12,学び,26,6.5
26セット,2026/01/11,学び,26,6.5
14セット,2026/01/10,学び,14,3.5
2セット,2026/01/09,英語,2,0.5
22セット,2026/01/09,学び,22,5.5
2セット,2026/01/08,英語,2,0.5
6セット,2026/01/07,英語,6,1.5
8セット,2026/01/07,学び,8,2
10セット,2026/01/06,英語,10,2.5
16セット,2026/01/06,学び,16,4
2セット,2026/01/05,英語,2,0.5
20セット,2026/01/05,学び,20,5
16セット,2026/01/04,学び,16,4
10セット,2026/01/03,学び,10,2.5
6セット,2025/12/31,学び,6,1.5
6セット,2025/12/30,学び,6,1.5
16セット,2025/12/29,学び,16,4
8セット,2025/12/28,学び,8,2
4セット,2025/12/27,学び,4,1
2セット,2025/12/24,学び,2,0.5
6セット,2025/12/23,学び,6,1.5
2セット,2025/12/22,学び,2,0.5
10セット,2025/12/21,学び,10,2.5
4セット,2025/12/20,学び,4,1
8セット,2025/12/10,英語,8,2
8セット,2025/12/10,学び,8,2
4セット,2025/12/09,英語,4,1
24セット,2025/12/09,学び,24,6
4セット,2025/12/08,英語,4,1
20セット,2025/12/08,学び,20,5
8セット,2025/12/07,学び,8,2
2セット,2025/12/06,英語,2,0.5
12セット,2025/12/06,学び,12,3
4セット,2025/12/05,英語,4,1
20セット,2025/12/05,学び,20,5
10セット,2025/12/04,英語,10,2.5
10セット,2025/12/04,学び,10,2.5
14セット,2025/12/03,英語,14,3.5
8セット,2025/12/03,学び,8,2
12セット,2025/12/02,英語,12,3
10セット,2025/12/02,学び,10,2.5
16セット,2025/12/01,英語,16,4
12セット,2025/12/01,学び,12,3
6セット,2025/11/30,英語,6,1.5
2セット,2025/11/30,学び,2,0.5
16セット,2025/11/29,英語,16,4
8セット,2025/11/28,英語,8,2
2セット,2025/11/27,英語,2,0.5
10セット,2025/11/26,英語,10,2.5
12セット,2025/11/25,英語,12,3
2セット,2025/11/24,英語,2,0.5
2セット,2025/11/22,英語,2,0.5
2セット,2025/11/20,英語,2,0.5
2セット,2025/11/19,英語,2,0.5
2セット,2025/11/16,英語,2,0.5
2セット,2025/11/06,学び,2,0.5
2セット,2025/11/05,学び,2,0.5
2セット,2025/10/30,学び,2,0.5
6セット,2025/10/23,英語,6,1.5
2セット,2025/10/09,英語,2,0.5
2セット,2025/09/19,学び,2,0.5
2セット,2025/09/06,英語,2,0.5
2セット,2025/08/27,学び,2,0.5
2セット,2025/08/27,英語,2,0.5
2セット,2025/08/25,英語,2,0.5
2セット,2025/08/22,学び,2,0.5
2セット,2025/08/22,英語,2,0.5
4セット,2025/08/21,英語,4,1
4セット,2025/08/20,英語,4,1
2セット,2025/08/19,英語,2,0.5
2セット,2025/08/17,英語,2,0.5
4セット,2025/08/16,学び,4,1
6セット,2025/08/16,英語,6,1.5
8セット,2025/08/15,学び,8,2
8セット,2025/08/15,英語,8,2
4セット,2025/08/14,学び,4,1
8セット,2025/08/14,英語,8,2
2セット,2025/08/13,学び,2,0.5
6セット,2025/08/13,英語,6,1.5
6セット,2025/08/12,学び,6,1.5
10セット,2025/08/12,英語,10,2.5
2セット,2025/08/11,学び,2,0.5
6セット,2025/08/11,英語,6,1.5
8セット,2025/08/10,学び,8,2
12セット,2025/08/10,英語,12,3
8セット,2025/08/09,学び,8,2
4セット,2025/08/09,英語,4,1
4セット,2025/08/08,学び,4,1
4セット,2025/08/08,英語,4,1
4セット,2025/08/07,学び,4,1
8セット,2025/08/07,英語,8,2
2セット,2025/08/06,学び,2,0.5
4セット,2025/08/06,英語,4,1
2セット,2025/08/05,学び,2,0.5
6セット,2025/08/05,英語,6,1.5
6セット,2025/08/04,学び,6,1.5
6セット,2025/08/04,英語,6,1.5
4セット,2025/08/03,学び,4,1
4セット,2025/08/03,英語,4,1
8セット,2025/08/02,英語,8,2
4セット,2025/08/02,学び,4,1
6セット,2025/08/01,英語,6,1.5
2セット,2025/08/01,学び,2,0.5
8セット,2025/07/31,英語,8,2
6セット,2025/07/31,学び,6,1.5
6セット,2025/07/30,英語,6,1.5
4セット,2025/07/30,学び,4,1
4セット,2025/07/29,英語,4,1
4セット,2025/07/29,学び,4,1
6セット,2025/07/28,英語,6,1.5
2セット,2025/07/28,学び,2,0.5
6セット,2025/07/27,英語,6,1.5
4セット,2025/07/27,学び,4,1
6セット,2025/07/26,英語,6,1.5
4セット,2025/07/26,学び,4,1
6セット,2025/07/25,英語,6,1.5
2セット,2025/07/25,学び,2,0.5
6セット,2025/07/24,英語,6,1.5
2セット,2025/07/24,学び,2,0.5
4セット,2025/07/23,英語,4,1
2セット,2025/07/22,英語,2,0.5
8セット,2025/07/21,英語,8,2
2セット,2025/07/21,学び,2,0.5
4セット,2025/07/20,英語,4,1
4セット,2025/07/19,英語,4,1
4セット,2025/07/19,学び,4,1
6セット,2025/07/18,英語,6,1.5
2セット,2025/07/18,学び,2,0.5
4セット,2025/07/17,英語,4,1
1セット,2025/07/17,学び,1,0.25
4セット,2025/07/16,英語,4,1
4セット,2025/07/14,英語,4,1
1セット,2025/07/14,学び,1,0.25
6セット,2025/07/13,英語,6,1.5
2セット,2025/07/13,学び,2,0.5
2セット,2025/07/12,英語,2,0.5
4セット,2025/07/11,英語,4,1
4セット,2025/07/10,英語,4,1
4セット,2025/07/08,英語,4,1
4セット,2025/07/08,学び,4,1
2セット,2025/07/07,英語,2,0.5
2セット,2025/07/07,学び,2,0.5
2セット,2025/07/03,英語,2,0.5
2セット,2025/07/02,英語,2,0.5
2セット,2025/07/01,英語,2,0.5
2セット,2025/06/30,英語,2,0.5
2セット,2025/06/29,学び,2,0.5
4セット,2025/06/29,英語,4,1
2セット,2025/06/28,学び,2,0.5
4セット,2025/06/28,英語,4,1
2セット,2025/06/27,英語,2,0.5
4セット,2025/06/26,学び,4,1
4セット,2025/06/26,英語,4,1
2セット,2025/06/25,英語,2,0.5
2セット,2025/05/21,英語,2,0.5
2セット,2025/05/07,英語,2,0.5
4セット,2025/05/06,英語,4,1
2セット,2025/04/14,英語,2,0.5
2セット,2025/04/11,英語,2,0.5
6セット,2025/03/29,学び,6,1.5
4セット,2025/03/28,学び,4,1
4セット,2025/03/26,学び,4,1
2セット,2025/03/25,学び,2,0.5
2セット,2025/03/25,英語,2,0.5
8セット,2025/03/23,学び,8,2
4セット,2025/03/23,英語,4,1
4セット,2025/03/22,学び,4,1
6セット,2025/03/21,英語,6,1.5
12セット,2025/03/20,学び,12,3
6セット,2025/03/20,英語,6,1.5
4セット,2025/03/19,英語,4,1
